ID,Strain,Nose,Max,Eye,Octic,Mandible
Female_ABIF_K1144-24-e15_align,Acvr2a,1.151004915,0.796132111,2.155597742,2.203864199,0.962784731
Female_ABIF_K1339-20-e15_align,Acvr2a,1.447178263,2.006488731,3.444632761,5.543363543,1.658556168
Female_ABIF_K1339-22-e15_align,Acvr2a,5.734748956,3.216671933,5.512880219,18.95886712,4.079629339
Male_ABIF_K1237-4-e15_align,Acvr2a,0.701722801,0.999431752,1.523518093,1.690832285,1.088149326
undeterminedSex_ABIF_K1267-18-e15_align,Acvr2a,1.597529478,1.872229279,4.388011884,2.39020414,1.237101139
Female_ABTQ_K20324_Acvr2b_align,Acvr2b,0.393876894,0.89532947,1.573696359,2.579135649,1.830669401
Female_ABTQ_K20325_Acvr2b_align,Acvr2b,0.830730919,0.671002854,1.918056192,3.488253619,0.485861364
Female_ABTQ_K203311_Acvr2b_align,Acvr2b,0.775636278,1.14749395,1.015252516,2.155817522,1.394439495
Female_ABTQ_K20371_Acvr2b_align,Acvr2b,0.948170143,0.794471593,1.589387225,3.819679718,0.995974601
Male_ABTQ_K203317_Acvr2b_align,Acvr2b,1.583610728,1.087771865,1.287761034,2.008099345,1.242601077
Male_ABTQ_K203713_Acvr2b_align,Acvr2b,1.668997556,1.089398685,2.89682133,5.162443867,0.667624147
Female_ACOA_K4704-2-e15_align,Aebp1,0.60949003,1.055849376,1.281870627,3.004802509,1.269288173
Female_ACOA_K4705-21-e15_align,Aebp1,1.194577006,1.017599423,1.181802586,2.199910297,1.718653321
Female_ACOA_K4705-6-e15_align,Aebp1,2.068748043,1.368621672,1.754342257,5.170004991,1.324398062
Female_ACOA_K4892-8-e15_align,Aebp1,1.32242112,1.741359142,2.297193906,2.339268506,2.170679815
Female_X86896-01_Aldh1a3_align,Aldh1a3,1.608817551,0.755962873,1.955783778,1.934489983,1.044178476
Female_X86896-04_Aldh1a3_align,Aldh1a3,1.074443221,1.215025113,2.249037087,2.317684865,1.989508201
Female_CR10326-163-3_Aloxe3_align,Aloxe3,0.349650793,0.584797825,0.978247514,0.658233043,0.788826012
Female_CR10326-163-5_Aloxe3_align,Aloxe3,0.919348148,1.055973979,2.531805375,2.592339062,1.331276769
Male_CR10326-154-5_Aloxe3_align,Aloxe3,0.850932046,0.617237975,1.5067797,1.747698347,0.841505621
Male_CR10326-163-4_Aloxe3_align,Aloxe3,0.947554943,0.720482718,1.294724822,3.015432762,0.618916105
undeterminedSex_AAWC_K24415_Ampd1_align,Ampd1,0.648734748,0.788399989,1.878975553,3.068329526,1.104447918
undeterminedSex_AAWC_K24420_Ampd1_align,Ampd1,1.177678566,0.69141416,1.548318607,2.612172538,0.511970309
undeterminedSex_AAWC_K24439_Ampd1_align,Ampd1,1.414195428,0.668584525,1.393213774,1.9162364,0.941300769
undeterminedSex_AAWC_K24444_Ampd1_align,Ampd1,0.792264742,0.804509955,1.185314678,3.097440858,1.010394569
undeterminedSex_AAWC_K24510_Ampd1_align,Ampd1,0.953442705,0.828343569,1.403112968,2.30713031,0.977067289
undeterminedSex_AAWC_K24513_Ampd1_align,Ampd1,2.922224688,1.369049413,3.02168139,3.529800327,1.125510136
undeterminedSex_AAWC_K25111_Ampd1_align,Ampd1,1.290779404,0.872556494,1.848601294,2.095610957,0.856964882
Female_ABRL_N352012_Ano6_align,Ano6,0.72961457,0.898020731,1.669843985,2.9593605,1.102564154
Female_ABRL_N352538_Ano6_align,Ano6,0.871728225,1.352262374,2.599875258,4.400557214,1.108081618
Female_ABRL_N352540_Ano6_align,Ano6,0.797784489,0.651068249,0.863923099,0.885817103,1.151928724
Female_ABRL_N35446_Ano6_align,Ano6,0.699610807,1.007719216,1.639573143,2.314497765,1.432573022
Male_ABRL_N352010_Ano6_align,Ano6,1.42843198,1.244817684,1.722923785,3.794079948,0.964411415
Male_ABRL_N352014_Ano6_align,Ano6,0.762924369,1.000572261,1.62193919,2.104694666,1.248240263
Male_ABRL_N352016_Ano6_align,Ano6,0.855035967,0.785550776,1.206962262,2.078143047,1.402250743
Male_ABRL_N35207_Ano6_align,Ano6,0.908842785,1.167128981,1.532140661,4.150917638,1.296912698
Female_ABZG_K5611-12-e15_align,Arid1b,0.461735795,1.124010656,1.084094427,0.757558598,1.597808074
